N,WOS,WOP,PDF
1000,0.059,0.057,0.07724788147264805
2154,0.08310120705663882,0.07892293407613742,0.07724788147264805
4641,0.07735401853048912,0.0693815987933635,0.07724788147264805
10000,0.0796,0.0793,0.07724788147264805
21544,0.0746379502413665,0.07607686594875604,0.07724788147264805
46415,0.07734568566196273,0.07432941936873856,0.07724788147264805
100000,0.07622,0.07742,0.07724788147264805
215443,0.07705982556871191,0.07659566567491169,0.07724788147264805
464158,0.07741329461088681,0.07693500919945363,0.07724788147264805
1000000,0.076324,0.076795,0.07724788147264805
