500000000,PDF,WOS,WOP
0.0,9862279.23835742,9713174.0,9706858.0
0.20161290322580644,26416984.74543641,26050170.0,26048091.0
0.4032258064516129,35890275.54221741,35486795.0,35484159.0
0.6048387096774193,38623940.73632403,38304742.0,38312421.0
0.8064516129032258,37075861.98542057,36884074.0,36890832.0
1.0080645161290323,33557166.08113501,33463480.0,33466924.0
1.2096774193548385,29500143.201149244,29469925.0,29462245.0
1.411290322580645,25603514.039122254,25615149.0,25617830.0
1.6129032258064515,22136990.01296465,22184695.0,22181803.0
1.814516129032258,19160564.744514387,19222395.0,19209706.0
2.0161290322580645,16645410.257912802,16704046.0,16700883.0
2.217741935483871,14532380.94794565,14590759.0,14596404.0
2.419354838709677,12757756.86281691,12821200.0,12817550.0
2.6209677419354835,11263308.0620618,11322022.0,11324769.0
2.82258064516129,9999324.7659583,10054988.0,10058774.0
3.0241935483870965,8924713.219622849,8976268.0,8978830.0
3.225806451612903,8006017.859759712,8051359.0,8053039.0
3.4274193548387095,7216175.3506992385,7259995.0,7260319.0
3.629032258064516,6533323.5891440185,6579091.0,6574680.0
3.8306451612903225,5939774.841425716,5976160.0,5981112.0
4.032258064516129,5421171.742279643,5462219.0,5458726.0
4.233870967741935,4965810.124038697,4998974.0,5004605.0
4.435483870967742,4564102.223774292,4593978.0,4595846.0
4.637096774193548,4208153.435012768,4237650.0,4235596.0
4.838709677419354,3891429.0336161256,3919459.0,3920644.0
5.040322580645161,3608491.456583082,3634946.0,3634188.0
5.241935483870967,3354792.6456101993,3379006.0,3379699.0
5.443548387096774,3126509.3171681245,3149011.0,3150728.0
5.64516129032258,2920411.7317864764,2939383.0,2939931.0
5.846774193548387,2733758.670380504,2754690.0,2754500.0
6.048387096774193,2564212.982425276,2582024.0,2583681.0
6.25,2409773.3467410565,2429934.0,2428940.0
6.451612903225806,2268718.8648174703,2288484.0,2287563.0
6.653225806451612,2139563.857447929,2158860.0,2153995.0
6.854838709677419,2021020.8118166123,2038574.0,2035282.0
7.056451612903225,1911969.8696072053,1926053.0,1925588.0
7.258064516129032,1811433.5888853583,1823280.0,1825784.0
7.459677419354838,1718555.9775065584,1730991.0,1730536.0
7.661290322580645,1632585.0018254207,1645313.0,1643940.0
7.862903225806451,1552857.9353238787,1563791.0,1566899.0
8.064516129032258,1478789.0378716723,1489617.0,1490571.0
8.266129032258064,1409859.1556212793,1422239.0,1420777.0
8.46774193548387,1345606.9100520122,1357106.0,1355478.0
8.669354838709676,1285621.207033745,1297346.0,1296700.0
8.870967741935484,1229534.8465122327,1240055.0,1237953.0
9.07258064516129,1177019.0532465058,1184211.0,1187688.0
9.274193548387096,1127778.781059359,1135895.0,1138351.0
9.475806451612902,1081548.6689224606,1089296.0,1089150.0
9.677419354838708,1038089.5481590171,1044776.0,1045380.0
9.879032258064516,997185.4171027042,1003731.0,1005860.0
10.080645161290322,958640.8134803908,965943.0,964917.0
10.282258064516128,922278.5262022055,930248.0,929836.0
10.483870967741934,887937.5976333647,894536.0,893298.0
10.685483870967742,855471.5751712266,862272.0,860902.0
10.887096774193548,824746.9773691451,832056.0,830596.0
11.088709677419354,795641.9451790736,802591.0,802174.0
11.29032258064516,768045.0533279065,773953.0,776929.0
11.491935483870966,741854.2605556744,746965.0,747612.0
11.693548387096774,716975.9805565543,721985.0,721587.0
11.89516129032258,693324.2580813917,697389.0,699090.0
12.096774193548386,670820.0368659989,675502.0,678392.0
12.298387096774192,649390.5079160284,654077.0,653168.0
12.5,628968.5282587429,632425.0,633174.0
12.701612903225806,609492.1016170166,614418.0,615645.0
12.903225806451612,590903.9136035854,595269.0,595432.0
13.104838709677418,573150.9150123035,576349.0,578138.0
13.306451612903224,556183.9476186103,561099.0,560189.0
13.508064516129032,539957.407619196,543861.0,543915.0
13.709677419354838,524428.9424580495,530006.0,528379.0
13.911290322580644,509559.1773170219,513405.0,513600.0
14.11290322580645,495311.46800865786,499451.0,498567.0
14.314516129032258,481651.67740565893,484117.0,485481.0
14.516129032258064,468547.9728858341,472275.0,471850.0
14.71774193548387,455970.6425704274,460444.0,460735.0
14.919354838709676,443891.9283937109,447249.0,448050.0
15.120967741935482,432285.87426912686,435982.0,435959.0
15.32258064516129,421128.18781474966,424301.0,425331.0
15.524193548387096,410396.11427499953,415126.0,413501.0
15.725806451612902,400068.3214267914,402792.0,402970.0
15.927419354838708,390124.7943924012,393264.0,393969.0
16.129032258064516,380546.73939801054,383699.0,382465.0
16.33064516129032,371316.4956209714,374102.0,374943.0
16.532258064516128,362417.45435918943,364463.0,364971.0
16.733870967741936,353833.98483725125,356780.0,357068.0
16.93548387096774,345551.3660348443,348332.0,348956.0
17.137096774193548,337555.723985996,340229.0,340293.0
17.338709677419352,329833.9740543492,331575.0,332506.0
17.54032258064516,322373.76773849165,325458.0,323835.0
17.741935483870968,315163.4436065753,318262.0,318512.0
17.943548387096772,308191.9819984229,310959.0,310715.0
18.14516129032258,301448.96316840197,302442.0,304500.0
18.346774193548384,294924.52857444657,296809.0,296821.0
18.548387096774192,288609.34504578577,291873.0,290880.0
18.75,282494.5715880559,284665.0,284468.0
18.951612903225804,276571.82860631525,279336.0,278446.0
19.153225806451612,270833.16934706573,272742.0,272798.0
19.354838709677416,265271.0533787642,268039.0,268010.0
19.556451612903224,259878.32194607207,261492.0,262913.0
19.758064516129032,254648.17504862804,256047.0,256153.0
19.959677419354836,249574.15010768562,250927.0,251555.0
20.161290322580644,244650.10209642758,247411.0,247149.0
20.362903225806452,239870.1850204743,242233.0,241515.0
